,Authors,Poems
550,Valter Bitencourt Júnior,"Porque a poesia é a beleza extrema da beleza, como diz os poetas.

Ir além da poesia é a minha meta!"
551,Roberto de Carvalho (poeta e escritor),"Perdão é prática boa
que traz duplo resultado:
É tão feliz quem perdoa,
quanto quem é perdoado!"
552,Anjo Poeta Igor Improta Figueredo,"Por que as tempestades significam coisas ruins, você já viu como são lindas as ondas quando furiosas?"
553,Robinho jota o aprendiz de poeta,"Menina tu és tão bela
a mas perfeita alegria
a inspiração dos meus cordéis 
e das minhas poesias"
554,Rose Felliciano,"Poesias vão muito além
Da rima e da métrica
Precisam da alma poética
E intensa razão de ser...."
555,Roberto Carlos,"Das lembranças que gosto de ter, e as trago em minha vida, voce é uma saudade que gosto de lembrar..."
556,Poemas e Poesias Catarinenses - Face,"PÓS-ATO

Qual a conseqüência do beijo?
Algo imensurável,
Plausível,
Desejável?

Toque de dois sentimentos,
Sutil, 
Entrelaçado,
Que se algemam em paixão 
mutua,
Constante,
irreparável.

Singultos ritmados,
Arrepios frementes.
Afagos,
Desabafos.

Nada disso,
Apenas bocas entorpecidas
Num cândido frenesi...

JRicardo de Matos Pereira"
557,Poema as Bruxas,"Amor perdido


Na calada da noite
ouço uma coruja a piar
será um canto de horror
ou só um clamor a soar

Com seus olhos no horizonte
uma sombra surge ao longe
sobre a lua na clareira
essa sombra que vagueia

A coruja se apavora
e a sombra vai embora
Será uma alma perdida
que vive a vagar

Por ter perdido um amor
que não soube dar valor
e hoje vive a procurar"
558,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"MADRUGADA

Do fundo do meu quarto no cerrado
Ouço a madrugada, de tão silenciosa
Que faz do vento trautear desentoado
E do canto do galo... prece religiosa!

Ouço a noite cochichar ao meu lado
Fuxico escusado da hora vagarosa
Sem dó nem piedade, nem agrado
Despetalando a solidão tal uma rosa...

© Luciano Spagnol
Poeta do cerrado
Mês de maio, 2017
Cerrado goiano"
559,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"NOITE

Cai a noite no planalto
Vinda de lugar algum
Estrelas lá no alto
O anoitecer no dejejum 

De um quarto vazio
Além da janela, a cidade
Brasília, num luzidio
A magia é divindade

Ruas desertas, silêncio vadio
O dia foi embora, majestade
Sentado num canto, já é tardio
Cai a noite na cidade!

© Luciano Spagnol
Poeta do cerrado
Setembro de 2017
Brasília"
560,Walmir Palma,"Risco corre quem deseja
E quem não corre
Se reprime a vida inteira
Trancado em seu próprio mundo"
561,Desconhecido,"Eu queria ser poeta,
mas poeta não posso ser, 
porque poeta pensa muito
e eu só penso em você!"
562,Rick Jones Anderson,"Aos Músicos Poetas...

Me deixa ver a lua e me dê um violão... 
Eu te mostrarei o mundo."
563,Luciano Spagnol - Poeta mineiro do cerrado,"De tanto poetar poeta
Sem poesia não poetaria
Poetando me vi profeta
Com a alma cheia de magia"
564,Son Dos Poemas SôniaMGonçalves,"Solidão 
da madrugada
no silêncio noturno
pensamentos 
vagueiam 
na lua de Saturno
no labirinto do coração
pelos porões obscuros 
acende a luz da alma
num lampião de lembranças
um souvenir de esperança
e tu para e pensa
calma alma...
nada mais importa 
agora...
já não faz mais diferença...
As coisas têm um tempo certo pra ser...
E nem sempre depende de você."
565,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"ACALANTO

Ide amor. 
Traga de onde quiseres
O ser amado. De onde for! 
E,
se não o teres
No prazer do teu calor
Volte! Não é adeveres
Tê-lo como louvor
Se acaso cansares
Outro conforto há no Criador
Se desejares
Serás vencedor
Pois amor é satisfação
E,
não um gestor
Acalme o seu coração!

© Luciano Spagnol
Poeta do cerrado
2017, 12, junho
Cerrado goiano"
566,Rita Apoena,"Sobre os poetas

O mágico nunca conta os seus segredos.
O poeta nunca explica uma entrelinha."
567,desconhecido,"Seja sempre forte, não como as ondas que tudo destroem, mas sim como as rochas que tudo suportam."
568,Walmir Palma,"Inda que a gente não queira
Há o abismo
A vida gira em sua beira
Quando se quer ser profundo"
569,Luís Poeta,"O amor tem que ser
espertinho
algo assim entre a malícia do desejo
E a inocência do carinho"
570,Luciano Spagnol - Poeta mineiro do cerrado,"O cerrado
Mais antigo que as eras
Ficou todo enrugado
O chão de quimeras
Um poema encantado"
571,Luciano Spagnol - Poeta mineiro do cerrado,"Coração

Tu não sabes nada!
Sofre por impulso
Anuncia a estrada
Pulsa no ato do expulso
Acelera e contagia
Sonha, e tem o avulso
Sentimento, com ousadia
Fazendo-se de recluso
Na certeza da batida certa
Acredita, sendo tão confuso
Ai então fica alerta
Se desperta
Me sustenta
Apimenta
E volta a ser placenta
Frágil, cheio de ilusão
És tu coração!

Luciano Spagnol"
572,Thomas Macaulay,"Talvez ninguém possa ser poeta, ou mesmo apreciar a poesia, sem uma certa perversão da mente."
573,Stefano Cavalcanti ( O Poeta Adorador ),"Quando um sujeito 
Se acha perfeito
É porque encontrou um jeito 
De esconder o seu defeito"
574,Caderno de frases e Poesias Scarlat,Nunca ninguém em tao pouco tempo se tornou tao importante e especialpara mim assim como voce.
575,Valter Bitencourt Júnior,"Doce pecado

Nasce uma flor inusitada
Bela delirante
Curvosa…
Seu perfume é um cristal
Vindo das colinas,
Inspira o céu
Transmite-me tranquilidade…
O tempo passa,
Tudo muda,
Ludibrias os meus olhos,
Enlouquece-me,
E me perde
Nas profundezas
Da paixão.
Doce pecado
Que me pega por baixo
E me faz de surpresa,
Sufoca, laça, faz de mim fatias
Deixando-me em pedaços."
576,desconhecido,Te desejo duas coisas... Tudo e nada... Tudo o que te faça feliz e nada que te faça sofrer.
577,desconhecido,"Se tiver que me amar que me ame hoje, pois o passado não volta e o futuro pode não chegar..."
578,desconhecido,"Nunca chore por ninguém, pois aqueles que merecem as suas lágrimas nunca o fariam chorar."
579,Poeta Urbano - 140312,"A Poesia é mágica...

Tem o dom de seduzir olhos perdidos na escuridão da solidão..."
580,Catarina Poeta,"A beleza existe porque é contemplada.
Que beleza teria a flor sem o olhar que a admira?"
581,Poemas e Poesias Catarinenses - Face,"NOTURNOS

Suavizei teu nome em tempos de jardins
Enquanto teus tempos queriam me esvair
E incluir em sonhos do que tentava ser
Em repousos noturnos
Que escapavam de seres infelizes

E nas terças de terços intensos
De vinhos baratos, de copos pequenos
A gente se abraçava
E sorria da tristeza
Transformando conhaques em fluídos ardentes...

(eduardo pinter - 24 mai 1998)"
582,Poeta Urbano - 010412,"Poesia é a arte juntar palavras frias...

Acrescentando pitadas de amor e verdade..."
583,Marco Paschoal,"Que maldade!
Me expor essa vontade,
e deixar-me essa saudade
que eu sinto de você."
584,PoesiaGuria,"Todo poeta faz filosofia, mas
Nem todo filósofo faz poesia!
Guria da Poesia Gaúcha"
585,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"Um poema festejando 15 anos 

15 anos, segue o caminho
tem desvio, sol, chuva, frio
tem bandido, tem mocinho
tem amor, suspiros, tem feitio.
Se tem choro, também carinho...
Tem primavera e outono com desfolha.
Momentos em companhia e sozinho.
Siga, e faça a sua escolha! 
A que escolher, contigo eu alinho...

Feliz anos dourados!
Feliz aniversário!

Luciano Spagnol
Poeta do cerrado"
586,Caderno de frases e Poesias Scarlat,Solidao é estar sozinho entre varias pessoas e sentir falta de apenas uma... voce...
587,Anjo Poeta Igor Improta Figueredo,"A poesia me despiu, em segundos mostrou a todos o que eu lutei tanto para esconder..."
588,Luciano Spagnol - poeta do cerrado,"A PORTA

De tábua és construída
ao vento e a poeira corta
marca chegada e partida 
viva e morta: sou a porta

Eu abro para quimera
me fecham no temporal
sou tramelada, espera
proteção, da casa ritual

E neste abre e fecha
a escada é o meu chão
lá fora eu vejo pela brecha...
O bem, é a porta do coração.

© Luciano Spagnol
Poeta do cerrado
2017, 27 de maio
Cerrado goiano"
589,Lêdo Ivo,"A poesia é uma criação da cultura, mas esta deve permanecer invisível no poema."
590,Samuel Coleridge,Nunca ninguém foi um grande poeta sem ter sido ao mesmo tempo um grande filósofo.
591,Samuel Coleridge,Prosa: palavras na sua melhor ordem; poesia: as melhores palavras na melhor ordem.
592,Christian Dior,A alegria é o segredo da beleza. Sem entusiasmo nao há beleza que seja atraente.
593,ZéReys - poeta do profundo.,"Tem gente que tem dois pesos e duas medidas como parámetro de vida. Ambas, inclusive, só podem ser usadas por ela própria, e de acordo com seus interesses, pois por si mesma caracteriza apenas e tão somente o seu jeito de ser, portanto, deve ser pelos outros, aceitas.

Ao contntrário, para os outros, caracterizaria falta de amor, para consigo. Convenhamos: Não dá para entender uma pessoa assim!"
594,Anjo Poeta Igor Improta Figueredo,"Não me transborde com suas insanas palavras, me envolva com suas belas atitudes."
595,Poemas e Poesias Catarinenses - Face,"Raro 

Nada fala,
apenas
para e repara;
que o tempo é curto,
e a voz atrapalha.
Olha,
sinta o agora,
o amanhã
já é outra cor,
e vai embora...

Entenda,
seja a folha
jogada ao vento.
Que o muito é pouco,
quando o amor é o momento.
Então me beija,
com toda a alma infinda.
Apenas beija,
que a vida assim é rara,
e o amor, mais raro ainda...

(Dinho Kamers)"
596,Poemas e Poesias Catarinenses - Face,"De pedra à flor 

Em um jardim arrasado pelo tempo
Em uma pedra envelhecida pela dor e pela solidão
Uma pequena flor tentou brotar
Mas a dor,de tão grande que era
tentava a todo custo a flor matar
Então,após séculos de luta
a pedra resolveu parar
Parou e olhou em sua volta
E uma pequena luz ela viu brilhar
E neste dia soube
Que em flor iria se transformar

Marilda dos Santos"
597,Poemas e Poesias Catarinenses - Face,"(sem título)
de: José Ricardo de Matos Pereira


No sonho inusitado que floresce... em meio a fronte que te circunda em flores...
lampejos de um amanhecer que até então desconheço...!!
Resquícios de um não saber...
Constatações de tudo que se afloram, mesmo que em soluços que me prendem..., 
que me fazem relutar ao inevitável...,
Teu, meu,
nosso indecifrável e repentino desejo....!!!!"
598,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"POEMA AUTOBIOGRÁFICO

Onde eu nasci
A cidade é sorriso
Do triângulo mineiro, Araguari
O cerrado é dos pés, piso
A juventude, amanheci ali
E a saudade inciso

Na chuva, brincando cresci
Ouvi os pássaros no quintal
E as estórias de saci
Fui criança, afinal...
Hoje longe, eu aqui
E lá sempre estarei

Em nada mudei! 

© Luciano Spagnol
Poeta do cerrado
Abril de 2017
Cerrado goiano"
599,Desconhecido,"Se for para esquentar, que seja o sol;
Se for para enganar, que seja o estômago;
Se for para chorar, que seja de alegria;
Se for para mentir, que seja a idade;
Se for para roubar,que se roube um beijo;
Se for para perder,que seja o medo;
Se for para cair,que seja na gandaia;
Se existir guerra, que seja de travesseiros;
Se existir fome,que seja de amor;
Se for para ser feliz, que seja o tempo todo!!"
600,Sidney Poeta Dos Sonhos,"QUERO
Sidney Santos

Quero em teus sonhos brincar
Cantar minha poesia
Exercer o direito de amar
Quero viver a magia

Sorver teu riso franco
Minha mão na tua palma
Correr do vermelho ao branco
Meu coração na tua alma

Quero o solto do salto
Fúria e calmaria
Vôo rasante e do alto
Quietude e romaria

Quero o ato de fato
Sentir o início e o fim
Agitado ou pacato
Sem amor, ....... Ai de mim!"
601,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"Poema do imaginário

Vamos pulsar a vida
Expulsar e por de partida
Qualquer forma de desamor
Some no abraço o laço acolhedor
É preciso amar
É preciso atar
No olhar, a cumplicidade
Chegar mais na felicidade
Como quem chega 
Para alguma parte
E sempre rega
O sonho em arte
A vida em entrega

“O silêncio é o exato momento do nada no lamento.”

Luciano Spagnol
Poeta do cerrado
Cerrado goiano"
602,AnjO poeta ( Igor Improta Figueredo),"A ponto de me tornar poeta!
Às vezes imagino que a única coisa inatingível em mim é a poesia,
Não queria ser frágil por isso luto pela força.
Sinto-me honrado em ser poeta, mas até mesmo esse dom,
Ou melhor, as características que temos por ter esse dom,
Trazem-nos um pouco de fraqueza, docilidade que é inútil no mundo em que vivemos.
É como se eu tivesse nascido tão fraco a ponto de me tornar poeta."
603,VILSON156,"Somos seres de sentimentos escuros,
Fantasmas noturnos que choram,
Pelas tristezas que os devoram,
Nos pensamentos obscuros

Nossas almas melancólicas,
Vagam pela noite sombria,
Em busca da alegria ilusoria,
Perdida nas sombras exóticas

Vida destruida por desilusões...
Por favor não tenha medo
De uma alma q e triste e 
Amaldiçoada

Trajando quase sempre luto,
Somos o estranho fruto,
Do mundo feliz que não existe"
604,Franthiescoly,"Poemas não são rimas ou combinações,
basta apenas tocar vossos corações,
fazer-te flutuar em emoções,
gerar grandes rebeliões de alegria,
ou até mesmo lagrimas de teus olhos retirar,
seus sentimentos liberar,
teu ódio em paixão tranformar,
Sou poeta, sou criador,
uma pessoa com muita dor,
jogando-as fora sem medo e nem rancor,
pois quem me magoou, o perdão eu dô,
meu ódio em paixão se tranformou"
605,Poeta mineiro do cerrado - Luciano Spagnol,"ENTÃO

Me traga dor
Saudade
Só não me deixe sem amor
Eterna felicidade
Pois, assim, é morte
Juntemos o sofrimento
Num sentimento forte
E neste aprendizado
Sorte
E façamos dele ansiado
Direcionando o norte
E o coração 
Suporte
Encante, uma canção 
Me dê amor!
Emoção 
Oferte uma flor
Me deixe sem chão
Só não me tires o amor
Então...

© Luciano Spagnol
Poeta do cerrado
Cerrado goiano"
606,Poemas e Poesias Catarinenses - Face,"A Viagem

...E quando eu partir,
quero ir com dignidade.
Assim,
sem louça suja na pia,
o banheiro e o quarto,
todos bem arrumadinhos.
Na sala, porém,
que deixem a TV ligada,
e que seja num Telejornal,
porque a vida segue.
Nada acabou.
Sou eu apenas que vou passear,
alí, naquele outro mundo,
sem mala, nem passaporte,
levando só comigo
o cheiro infinito do nosso amor...

(Dinho Kamers)"
607,Walmir Palma,"Recado (Walmir Palma)  


Eu lhe dei a liberdade
De entender os meus segredos
Eu plantei sinceridade
No deserto dos seu medo

Um oásis para a sede
Tão febril de sentimentos
Sua fonte de prazeres
Onde flora o pensamento

Você leu a minha história
Nem foi ao final do livro
Guardo você na memória
Para sempre já não digo

Como é simples a verdade
Descobri a sensatez
Eu colhi felicidade
Você a perdeu de vez"
608,Luciano Spagnol (poeta do cerrado),"ADEUS ANO VELHO

Deste que passaram-se horas
Do velho ano
Do ano que já é outrora
Agora recordação, tempo profano
A cada segundo, minuto, hora
Dia após dia, quotidiano
O tempo vai, vai embora
Sorrateiro e ufano
Muito antes, antes de mim
Veloz e insano
Sem parar, até o fim...
No diverso plano
Vida que segue, ""Quixotesco"" no seu rocim
Adeus velho ano! 

Luciano Spagnol
Cerrado goiano
Poeta do cerrado"
609,Sidney Poeta Dos Sonhos,"RUMA
Sidney Santos

Já pra que é abarbar
Poesias não vou fazer
Hoje só vou escutar 
O que você tem pra dizer

Versos matuto
Tempo de reflexão
Hoje só escuto
Estou de prontidão

Fala o que tem vontade
Não importa exatidão
O que vale é a lealdade
Expressa no coração

Do coração, é palavra
Fruto de santa lida
Faina de boa lavra
É o sangue da vida

Em homenagens aos poetas repentistas deste País."
610,Poemas e Poesias Catarinenses - Face,"MULHER

Motivo de toda existência da humanidade
Ultrapassa barreiras que nenhum outro é capaz
Lapida seu nome na história por sua capacidade
Humaniza sentimentos cristalizando sempre a paz
Eterniza o equilíbrio aos filhos bem amados
Repousa ternuras almejando tudo o que é sagrado
Eduardo Pinter                                                            08 Mar 2014"
611,Poemas e Poesias Catarinenses - Face,"Incógnita
de: José Ricardo de Matos Pereira

Sempre quando o vulto do desejo paralisa alguns sentidos,
quando a seiva afoga na face a pretensão, e,
o, sentir escorrer pela pele saberás que ainda penso em ti,
que sua voz açoita, a solidão e
teu sorriso me faz abrir os olhos para um novo dia...
Te amo em devaneios...
Te amo acordado...
Te amo apenas por existir:
fagulhas de meu sentimento...
O verbo amar me consumir...!"
612,Poemas e Poesias Catarinenses - Face,"O Café II

Café não se bebe:
Se saboreia.
Digo isto,
porque assim o faço.
Puro, adoçado,
não vem ao caso.
O importante mesmo,
é que seja saboreado,
assim,
bem devagarinho,
molhando a boca
como uma suave melodia...
Pois o café foi feito
para ser apreciado,
solene
até o último ato;
Quando a xícara já estiver vazia,
e a gente, alí,
viajando...
Totalmente inebriado...

(Dinho Kamers)"
613,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"CANTIGA

Ah, se fico ou se passo, se vou no compasso
da vida, devorante no tempo, amiga e inimiga
porém, se o que intriga é todo este embaraço
de gente a gente que na maldade prossiga...

Dá um cansaço, fadiga, de ver e ouvir,
angustia, e faz da existência rapariga...
Então, me resta neste murmúrio, sorrir! 
Ser, resistir e ter o amor em doce cantiga.

© Luciano Spagnol
Poeta do cerrado
2017, julho
Cerrado goiano"
614,Jocimar Lopes,"Óh pensamentos meus,
Que perturbam minha mente
a Cada passo para a 
Insanidade,

E o que é insano?
Será o próximo passo para uma
Mente brilhante?
Isso me enlouquece a cada
Gole de conhecimento...

Observando o brilho do passado,
Vejo o quão pequenos somos, pois
A ilusão está nos céus e terra...
Mas será a real ilusão?

Ilusão e confusão,
Assim vou escrevendo
esse poema,
Um poema sobre a minha
Insanidade..."
615,Dinho Araujo,"Me deixou

Ultimamente
Você tem se afastado de mim
Tem deixado de lado tudo o que temos
Ou tudo o que tivemos
Como se fosse chiclete sem gosto
No começo era incrível
Falávamos sobre tudo
Compartilhávamos segredos
Marcamos de nos ver
Marcamos de nunca deixar um ao outro
Marcamos
É estranho
Você vir e me levar nas nuvens
E depois ir embora e deixar uma depressão
Hoje essa marca tão profunda
Fica dentro do meu coração"
616,Poeta Urbano - Junho de 2009,"Procura-se

Procura-se uma alma gêmea...
Ou ate mesmo um amor bobo...
Que me faça sorrir novamente...
Que me devolva o brilho no olhar...
E o sorriso bobo no rosto...
Procura-se...
Uma mão solitária...
Para nos caminhos da vida...
Andar colada nas minhas...
Procura-se...
Uma amante...
Que me faça nascer e morrer a todos os instantes...
Que me inspire...
E com o seu perfume...
Me seduza...
Me envolva....
Procura-se..."
617,Nildo Cordel,"Viver é um desafio
Desafiar é viver
Por isso eu vou vivendo
Sempre buscando aprender
Para não ser devorado
Pela falta de saber.

Se posso dou um sorriso
Se não posso, um lamento
Mas não fico esperando
Sonhando sou avarento
E busco sonhar meu sonhos
Até no sopro do vento.

Nas gotas fracas da chuva
Que a terra vai borrifando
E faz levantar o cheiro
De chuva que vou cheirando
Eu sonho dias melhores
E levo a vida cantando."
618,Charles Bukowski,"Um Poema de Amor

Todas as mulheres
todos os beijos as
diferentes formas que amam e
falam e carecem.

suas orelhas todas elas têm
orelhas e
gargantas e vestidos
e sapatos e
automóveis e ex-
maridos.

na maioria das vezes
as mulheres são muito
quentes elas me lembram
torrada com a manteiga
derretida
nela.

está estampado no
olhar: elas foram
tomadas elas foram
enganadas. eu nunca sei o que
fazer por
elas.

sou
um bom cozinheiro um bom
ouvinte
mas nunca aprendi a
dançar — eu estava ocupado
com coisas maiores.

mas eu apreciei suas variadas
camas
fumando cigarros
olhando para o
teto. não fui nocivo nem
desleal. apenas
um aprendiz.

eu sei que todas têm
pés e descalças elas andam pelo piso enquanto
eu olho suas modestas bundas no
escuro. sei que gostam de mim, algumas até
me amam
mas eu amo muito
poucas.

algumas me dão laranjas e vitaminas;
outras falam mansamente da
infância e pais e
paisagens; algumas são quase
loucas mas nenhuma delas deixa de fazer
sentido; algumas amam
bem, outras nem
tanto; as melhores no sexo nem sempre são as
melhores em outras
coisas; cada uma tem seus limites como eu tenho
limites e nós aprendemos
cada qual
rapidamente.

todas as mulheres todas as
mulheres todos os
quartos
os tapetes as
fotos as
cortinas, é
algo como uma igreja
raramente se ouve
uma risada.

essas orelhas esses
braços esses
cotovelos esses olhos
olhando, o afeto
e a carência eu tenho
agüentado eu tenho
agüentado."
619,Poemas e Poesias Catarinenses - Face,"Este silêncio
Ah, este silêncio!
Aflora minha solidão.
Mas, confesso
Que há um gosto de sol da tarde:
Perto do amanhecer noturno
Que me agrada a alma
Que me ilumina à luz ao ser renascente
Do que leve se torna opaca
Ao que foi instaneamente
Meu.
E de instante e distante,
Neste exato momento, nada me importa;
Talvez a saudade me consola num violão
Em tons de lágrimas de notas ausentes.
27092013
Eduardo Pinter"
620,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"SOFRÊNCIA 

Depois de você
A vida passou a saber
Como é vasta a imensidão
Da noite com solidão

Que horas são?
Que importância tem
Se minha saudade vai além...

Sem você, também,
Me perdi nos por quês
A angústia ficou à mercê
Depois de ter você
Felicidade é querer em vão
Pela rua migalha a emoção
Sem você!
Tudo é sofrência
Num coração de aparência! 

Luciano Spagnol
Poeta do cerrado
Janeiro de 2017"
621,Poemas e Poesias Catarinenses - Face,"Desvencilhar
É sentir o orvalho na face,
brindar com a lágrima que escorre no semblante
Recuar de tudo o que é lógico..
Procurar o inusitado... AMAR!!!
Sentir o desejo em sua maior plenitude:
“O querer”
Sem te querer não posso te amar, e, não te amando, apenas te versifico,
como devaneio, 
como fagulha de um sentimento platônico que ainda resiste e reside em mim!
Ter. 07.05.2013 as 01.13Hs

JRicardo de Matos Pereira"
622,Poema as Bruxas,"Sou de onde o vento me levar
Nos quatro cantos do mundo
Sempre vou estar

Talvez um dia eu possa parar
e em algum canto 
me estabilizar

Mas gosto de voar
no mundo da lua sempre vou morar
minha mente não pode parar
tenho a imaginação além da realidade

Que vaga no mundo dos sonhos
Em busca da felicidade.

Sonhar é meu destino e minha razão
Fonte de minha realidade e de minha ilusão
sou feliz assim 
quem poderá me julgar."
623,JP Rodrigues - Poeta Rondoniense,"SOMAS DA VIDA

Sou poeta,
Mestre sem diploma.
Mestre na arte de amar.
Más que também se apaixona.

Tive vários amores,
Tive vários amigos,
Grandes desilusões,
Diversas decepções,
E um amor eterno.

Amar.
Amar é cuidar.
Amar é zelar.
Amar é dividir.
Amar é somar.

Somar todas as virtudes,
Subtrair os defeitos,
Multiplicar o carinho,
Dividir o mesmo espaço,
Seguir o compasso,
Fazer a soma da vida.

- JP RODRIGUES"
624,Diego José,"O Poeta que ama poemas

Eu e você ardendo em amores
Felizes amantes.
Roupas jogadas ao chão
Meu gosto, teu gosto!

Toma meu ar, meus desejos
Derreta-me em tua língua
E líquida, transbordo o cálice
Ao arranhar da tua boca

Sede visceral...pele na pele
Me perco no teu corpo
Estrada sem fim
Você e eu..você dentro de mim!

Enrosca, beija e enlouqueça
Sob lençóis cúmplices de sonhos
Minha alma te recebe
Sou senhora do teu amor"
625,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"VOCÊ...

A falta de sua presença, machuca.
Meu coração numa cumbuca.
A saudade é sentida.
Na alma reprimida.
A solidão no íntimo.
Sinto falta do mimo,
hoje está mais apertada, dolorida ,
ferida...
Ouvi Bethânia, tomei vinho, fiz uma massa.
A emoção numa arruaça.
Queria você aqui.
Está saudade deflui,
na saudade de você!!! 
Agridoce...
É estritor.
Com amor! 

Luciano Spagnol
Poeta do cerrado
Janeiro, 2017
Cerrado goiano"
626,Douglas Malloch,"Sê

Se não puderes ser um pinheiro, no topo de uma colina,
Sê um arbusto no vale mas sê
O melhor arbusto à margem do regato.
Sê um ramo, se não puderes ser uma árvore.
Se não puderes ser um ramo, sê um pouco de relva
E dá alegria a algum caminho.

Se não puderes ser uma estrada,
Sê apenas uma senda,
Se não puderes ser o Sol, sê uma estrela.
Não é pelo tamanho que terás êxito ou fracasso...
Mas sê o melhor no que quer que sejas."
627,Poemas e Poesias Catarinenses - Face,"Explicação

Jamais interrompa um poeta.
Seria um crime sem perdão.
Nem mesmo numa urgência,
Não o incomodes,
Em sua alta inspiração.

Jamais lhe peça um minuto,
Nem queira ter sua atenção.
Pode ser fatal esse momento,
E assim como o vento,
O poema lhe fugir da mão...

E se isso acontecer, amigo,
De uma tristeza infinda,
O poeta terás ferido.
Seria assim, como lhe cortar
Um pedaço do seu coração...
(Dinho Kamers)"
628,Poeta Urbano - 130312,"Poesia Boa e Boa Poesia

Poesia boa é aquela que nasce na alma...

Traz ao mundo toda beleza das rosas, passarinhos, crianças, sorrisos e afins...

Boa poesia é aquela que nasce no coração e traz ao mundo o amor...

Costumo dizer:

Palavras que nascem no cérebro, sem passar pela alma e nem pelo coração...

São meras palavras baratas...Sem emoção e sem vida...

Mero blá, blá, blá de galanteadores baratos a busca da próxima vítima..."
629,Walmir Palma,"Algo Mais (Walmir Palma) p/ Rosa Passos


Ouço sua voz, 

De tão feliz levito

E o infinito

Cabe dentro de mim.

Basta sua voz

E nada em mim respira,

É como se Akira

Filmasse Areta e Elis.

É paz!

A gente nunca esquece.

É meio Elizete.

É Dalva tão feliz.

Na sua voz,

Toda canção é mantra,

É luz que Yogananda

Emana entre os mortais.

É cura. É néctar de rosa,

De dentro para fora,

É voz e algo mais!"
630,Bel Aquino,"Solidão A Dois

A solidão abraça como uma serpente.
O silêncio é o veneno presente
Na rotina que surgiu imprudente.
Dia e noite surge a indiferença amargando como sal cortante
Ao som de uma lagrima evidente...
A inundação é como uma torrente,
já não existe beijo ardente.
Solidão a dois apagou o amor fulgente.
O carinho se tornou inexistente
o toque se fez ausente.
A dor consome lentamente...
Frio do vazio abraça forte como uma corrente."
631,Walton Carpes,"Se eu pudesse, apenas um dia,
voltar no tempo,
queria que fosse
para o dia em que te conheci.

Se eu devesse, talvez,
corrigir um erro,
queria que fosse
o da nossa primeira briga.

Se eu pudesse, então,
repetir o que foi bom
queria que fosse
o nosso primeiro beijo.

Se eu pudesse, ainda,
desfazer um ato,
queria que fosse
o te ter magoado.

E se eu pudesse, por último,
fazer um pedido,
queria que fosse
o de ser feliz pra sempre
contigo."
632,Poeta Urbano - 030612,"Poema sem nome


Já tive todas as bocas que um homem imagina beijar...

Já tive todos os corpos... Já tive a santa...

E também a devassa...

Mas...

Na mão de todas...

Escorreguei feito areia entre os dedos...

Dentre todas...

Apenas uma...

Despertou meu encanto...Conquistou meu coração...

Levou-me à terras... Nunca antes exploradas...

E...

Com o passar do tempo...

Escorregou...

Feito areia...

Entre os meus dedos..."
633,Thalia Catarina,"Amigas verdadeiras!

Um dia uma pessoa me perguntou 
se ela era minha amiga verdadeira
e eu respondi sinceramente!

Você é minha amiga verdadeira
e eu nunca vou te substituir 
por nenhuma outra!

Você sempre será a única no meu coração!
Quando mais preciso, você está do meu lado
Nas horas felizes e tristes!!

Que Deus te abençoe!
o seu coração é sincero,
puro, sensível, carinhoso,etc

Num tenho nem palavras pra te dizer!!
Te adoro amiga!"
634,Poeta Israel,"Poesia: A Misericórdia de Deus

Deus justo e misericordioso igual não há.
O Senhor esta elevado entronizado entre
seus Anjos e exaltado na Igreja e em

Muitos corações porque é bom e benigno.
Bom é  o Senhor até para  os maus e ateus.
Muitos não sabem o que estão perdendo estando
longe

do Senhor e não ter o seu amor no coração.
Nem todos tem Deus mas  Ele usa de misericórdia.
Dá chance de restituição até para os maus Ele é Deus."
635,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"A VIDA

Mirei o horizonte remoto
Sonhei acordado fantasias
Do cerrado eu fui devoto
Da vida as trovas vazias 

Era sonho tão maroto
Com tortas caligrafias
Das quimeras de garoto
Seguintes as tais ironias

De um tal amor imoto
Raras as companhias
Com o verso canhoto
Ortografei as urgias

Então, neste viver piloto
Riscados nas heresias
De poeta e feliz louco
Versejaram os meus dias

© Luciano Spagnol
Poeta do cerrado 
2017, outubro
Cerrado goiano"
636,Gustavo  Henrique L. Piovesan,"Folha, papel, um branco sem cor
esperando tinta que vem compor sentimento,
poemas e até varias cartas de amor.    
Letras, palavras, frases que vem expressar,
o sentir, o querer, o sonhar, o amar.
Papel, tinta e o sentir
quantos poemas nasceram assim.
Poema é corpo e razão
que dão forma ao sentir do coração.  
O poeta então, é mero servidor do papel
da tinta e do sentir
para com as letras, palavras e frases
poder formar
um novo poema que há de brilhar."
